WorkCode,Type,ESBP
CPAISC,Others - N/L,0.25
CPAISN,Others - N/L,0.25
CPARMA,Others - N/L,0.25
CPARMB,Others - N/L,0.25
CPARMC,Others - N/L,0.25
CPARMN,Others - N/L,0.25
CPBEXA,Others - N/L,0.25
CPBEXB,Others - N/L,0.25
CPBEXC,Others - N/L,0.25
CPBEXN,Others - N/L,0.25
CPBISA,Others - N/L,0.25
CPBISB,Others - N/L,0.25
CPBISC,Others - N/L,0.25
CPBISN,Others - N/L,0.25
CPBRMA,Others - N/L,0.25
CPBRMB,Others - N/L,0.25
CPBRMC,Others - N/L,0.25
CPBRMN,Others - N/L,0.25
CPCEXA,Others - N/L,0.25
CPCEXB,Others - N/L,0.25
CPCEXC,Others - N/L,0.25
CPCEXN,Others - N/L,0.25
CPCISA,Others - N/L,0.25
CPCISB,Others - N/L,0.25
CPCISC,Others - N/L,0.25
CPCISN,Others - N/L,0.25
CPCRMA,Others - N/L,0.25
CPCRMB,Others - N/L,0.25
CPCRMC,Others - N/L,0.25
CPCRMN,Others - N/L,0.25
CPDEXA,Others - N/L,0.25
CPDEXB,Others - N/L,0.25
CPDEXC,Others - N/L,0.25
CPDEXN,Others - N/L,0.25
CPDISA,Others - N/L,0.25
CPDISB,Others - N/L,0.25
CPDISC,Others - N/L,0.25
CPDISN,Others - N/L,0.25
CPDRMA,Others - N/L,0.25
CPDRMB,Others - N/L,0.25
CPDRMC,Others - N/L,0.25
CPDRMN,Others - N/L,0.25
CPEEXA,Others - N/L,0.25
CPEEXB,Others - N/L,0.25
CPEEXC,Others - N/L,0.25
CPEEXN,Others - N/L,0.25
CPEISA,Others - N/L,0.25
CPEISB,Others - N/L,0.25
CPEISC,Others - N/L,0.25
CPEISN,Others - N/L,0.25
CPERMA,Others - N/L,0.25
CPERMB,Others - N/L,0.25
CPERMC,Others - N/L,0.25
CPERMN,Others - N/L,0.25
CPFEXA,Others - N/L,0.25
CPFEXB,Others - N/L,0.25
CPFEXC,Others - N/L,0.25
CPFEXN,Others - N/L,0.25
CPFISA,Others - N/L,0.25
CPFISB,Others - N/L,0.25
CPFISC,Others - N/L,0.25
CPFISN,Others - N/L,0.25
CPFRMA,Others - N/L,0.25
CPFRMB,Others - N/L,0.25
CPFRMC,Others - N/L,0.25
CPFRMN,Others - N/L,0.25
CRECTE,Others - N/L,0.25
CRECTF,Others - N/L,0.25
CRECTFH,Others - N/L,0.25
CSCEXA,Others,0.25
CSCEXB,Others,0.25
CSCEXC,Others,0.25
CSCEXN,Others,0.25
CSCISA,Others - N/L,0.25
CSCISB,Others - N/L,0.25
CSCISC,Others - N/L,0.25
CSCISN,Others - N/L,0.25
CSCLCA,Others - N/L,0.25
CSCLCB,Others - N/L,0.25
CSCLCC,Others - N/L,0.25
CSCRMA,Others - N/L,0.25
CSCRMB,Others - N/L,0.25
CSCRMC,Others - N/L,0.25
CSCRMN,Others - N/L,0.25
CSCRPA,Others,0.25
CSCRPB,Others,0.25
CSCRPC,Others,0.25
CSCRPN,Others,0.25
CSPRLA,Comms,1
CSPRLB,Comms,1
CSPRLC,Comms,1
CSPRLLA,Others - N/L,0.25
CSPRLLB,Others - N/L,0.25
CSPRLLC,Others - N/L,0.25
CSPRLLN,Others - N/L,0.25
CSPRLN,Comms,1
CSPRPA,Comms,1
CSPRPB,Comms,1
CSPRPC,Comms,1
CSPRPN,Comms,1
CSPRWA,Comms,1
CSPRWB,Comms,1
CSPRWC,Comms,1
CSPRWN,Comms,1
CSPRXA,Others - N/L,0.25
CSPRXB,Others - N/L,0.25
CSPRXC,Others - N/L,0.25
CSPRXN,Others - N/L,0.25
CSVEXA,Others,0.25
CSVEXB,Others,0.25
